player,uid,level,rank,rank_div,rank_score,kills,damage,headshots,games_played,wins,kdr,damage_per_game,source
Apryze_alpha,900000004011,393.5883714354977,Predator,1,29680.532183948577,1304.099165076455,831889.6141480649,217.51798343097053,764.698515752764,168.14780012307182,1.7053768749540577,1087.866128953001,local_fallback
RamBeau_fps,900000000501,438.2562749976057,Diamond,3,29311.6148820844,1378.6637367677597,741569.0640843513,188.42005280580935,712.7990632105561,160.53350947434217,1.9341548101340744,1040.3620071331331,local_fallback
LuluLuvely_storm,900000009159,461.2939943002689,Master,2,28854.84435976183,1527.6518174105192,1003073.0080079508,254.6988596775948,836.50465751633,232.23158484109837,1.8262322913374776,1199.1242355854656,local_fallback
Bigzzy_nova,900000006763,494.4064959832269,Diamond,3,28796.715218876696,1322.7200709568406,911263.9278738664,296.5405251388655,929.1654157464052,200.45538548594004,1.4235571498259976,980.7337987734312,local_fallback
Blasts_vibe,900000006149,464.7935441710911,Master,2,28459.1629721099,1588.657388467347,819254.99786182,190.12709904661813,918.4533165073536,179.13957060520758,1.7297094581884798,891.994163598037,local_fallback
Mainy_vibe,900000010119,469.2710874750585,Master,2,28442.57185817546,1357.7167144403695,747354.5384067583,190.48258977766952,880.1813723882234,180.20643646391824,1.542541977179584,849.0915189206266,local_fallback
sano874_zone,900000003106,451.1793735363556,Predator,1,28312.5553542373,1509.103683780853,1032304.472242334,305.73084682100443,862.8600407362331,228.78913852812397,1.7489553491122551,1196.375337258083,local_fallback
L1ng_zen,900000010555,429.8040045043684,Master,2,28197.315806385883,1702.874690210013,831447.3768742621,259.44110804390573,835.6292329001448,192.95116168742223,2.0378352302252467,994.9955603977986,local_fallback
BulletL_edge,900000005197,464.5238263074565,Master,2,28118.782168507067,1572.4494529308429,822987.9275828458,275.4284193981541,814.6809311193099,227.183157383926,1.9301414736324023,1010.1966256312428,local_fallback
kassssa_zone2,900000003466,379.2441895003543,Platinum,4,28034.74818404742,1078.2007999701727,854554.9039683152,190.84895116369205,708.4073759740552,184.4405582981213,1.522006738689944,1206.3043567175007,local_fallback
SudetakiN_zone3,900000007881,483.82696885028,Master,2,28023.57791542421,1354.6708640408667,856321.3994652032,217.7085469621273,824.4358026721287,162.66279327609797,1.6431489991702946,1038.675657570581,local_fallback
BulletL_ghost,900000008927,401.4573225596421,Master,2,27949.305373044223,1619.522906856123,861699.9847675324,272.47119424566813,892.4692899185628,229.39641734213544,1.8146539328024425,965.5234017589132,local_fallback
LuluLuvely_edge2,900000003152,483.3801015462448,Master,2,27942.28226914845,1487.8714488965124,953728.158933512,257.77994320027045,926.2534274636986,217.40282824710897,1.6063330021575812,1029.6622184114835,local_fallback
Dropped_nova,900000008048,428.5989333133232,Diamond,3,27909.110567928168,1076.163034734289,701697.9261135198,250.89172136134368,872.8758711889578,192.56418698643677,1.2328935536600765,803.891995728701,local_fallback
Sc1ss0rs_rift,900000007709,475.50651532360126,Diamond,3,27853.23564245071,1300.003439900698,833413.8358664032,247.22429027917823,800.9207844841935,153.2745829945061,1.6231361017031445,1040.5696193826905,local_fallback
Jinqs_nova,900000009203,395.5758054895944,Diamond,3,27845.453644759644,1030.6649686467165,894307.5759143876,136.35203257568688,677.5894538928385,148.30499968139688,1.5210758708321293,1319.8369171427855,local_fallback
Maliwan_scope2,900000004488,391.6398544623151,Diamond,3,27824.71326263123,1414.4756339571989,954051.472612793,251.0508252051732,865.40857814599,170.73593414799322,1.6344599183284083,1102.4289528729971,local_fallback
Rogue_storm,900000006244,466.65466613651296,Master,2,27718.373426826303,1448.5672351484109,948960.6823792348,229.04541234952845,634.0375626287635,185.51626900171584,2.284671004573532,1496.6947359471549,local_fallback
Maliwan_scope,900000003988,517.6577618468664,Diamond,3,27631.42055835997,1293.3183503205153,970355.4552562172,213.862865544468,871.9943856122002,190.0455260998338,1.483172795215323,1112.8001180592014,local_fallback
Campar_eu,900000003245,424.8008574665994,Diamond,3,27596.979687370356,1191.585961741191,727262.9767459797,217.17705309487943,777.2129801386492,143.08256232053037,1.5331524204969158,935.7318976019176,local_fallback
BunnyH0p_zone,900000009421,397.4072398312814,Master,2,27507.078142695853,1473.071417246541,699980.2022896481,261.0202496715094,835.4632580485453,217.72725587845,1.7631791740157494,837.8348126578837,local_fallback
Shakabo_vibe,900000005804,382.2335399858936,Diamond,3,27494.489061511315,1358.1298826289674,730377.7831695308,185.0629944083665,824.724685116427,139.81391642074107,1.6467675906138777,885.6019425033007,local_fallback
aimbotmachin3_zen,900000000810,472.8230344009484,Master,2,27433.05183477492,1865.4674324912176,1024208.1357929253,284.96000613905727,808.2761356518655,208.2264639770714,2.3079580730003117,1267.1512749376336,local_fallback
SPK_vibe,900000005219,479.4418455447586,Diamond,3,27428.97985629085,1580.8434510705283,667742.071500315,349.8353661616525,749.9116003116417,203.64141167095755,2.1080397348348465,890.4277133769108,local_fallback
Noiises_zone,900000002981,445.83982758404113,Diamond,3,27403.542457560325,1102.261269059037,616054.4999638104,184.3057606087639,662.8497433299584,130.3271568322863,1.662912719135421,929.402939599761,local_fallback
Blasts_rift,900000005184,447.5405815379288,Master,2,27373.318333639407,1345.7405179950467,857417.8346074574,182.54357343709412,832.4030517850514,174.27584536972938,1.616693397638519,1030.051286775995,local_fallback
PostKiLL_rift2,900000005524,400.3947526135944,Diamond,3,27351.413262989747,1278.929957187849,803655.9421231268,188.55490204136345,805.0557150455322,159.4814806598281,1.5886229155152516,998.2612719887018,local_fallback
Hill_scope,900000008813,468.92849076961016,Predator,1,27319.76684073901,1565.4955628124526,1246036.2809367392,244.35559141255283,1012.8803844129388,212.02047437857465,1.5455877978324233,1230.1909486172312,local_fallback
xaniya_zen,900000008540,389.9827508289504,Diamond,3,27286.37764419494,1201.979377277357,818750.5673199499,176.5071206293408,770.2794610598263,159.0795180170564,1.5604458356238071,1062.9266502749954,local_fallback
oh Nocturnal_pulse,900000006353,393.9675514960637,Diamond,3,27282.31032227569,1337.6149274905656,861694.138914275,179.71684301922616,743.4696030310454,147.37774823712567,1.7991521402317645,1159.017309384595,local_fallback
kassssa_scope,900000005313,431.6934907597152,Platinum,4,27274.422793162168,1174.8542520248425,842925.5946786706,211.76850862176423,868.8888390756033,178.21629122264886,1.3521341271626308,970.1190264746012,local_fallback
apexSQL_zone,900000006321,425.7580045855298,Master,2,27210.739488982377,1517.6585485024648,1015096.564920158,269.3601403946501,917.637105312008,205.79787495366045,1.653876613878252,1106.206973371039,local_fallback
Maliwan_zone,900000002636,534.4176734186223,Diamond,3,27178.09207866408,1276.9984823036025,940003.3862749086,267.5359203290969,787.3726486503963,169.78639456170552,1.6218476530680284,1193.8481580305468,local_fallback
apexSQL_pulse,900000007298,475.09627166298753,Master,2,27137.81186290529,1418.5749758053244,836886.4618096467,229.58173285560835,899.9800172671069,208.7909750998965,1.5762294146407727,929.8944929365754,local_fallback
Maliwan_pulse,900000009398,503.9854718503089,Diamond,3,27124.827805118934,1202.7018866415017,913236.697755916,278.5293058964368,869.1347821484503,208.59030230268567,1.3837921474831476,1050.7423204240524,local_fallback
BunnyH0p_scope,900000005143,552.478924331491,Master,2,27119.394382112485,1708.0761931435488,835861.1094347164,254.7894085105929,962.0754151134136,190.05302663893264,1.7754077968432374,868.8103825376116,local_fallback
Kouhia_core,900000002805,524.5107110147859,Predator,1,27085.825030864937,1868.9186504364184,903017.8820540756,252.43402405990656,822.784586972218,220.44349677087664,2.271455591206309,1097.514338931785,local_fallback
SkittleCakes_prime,900000000777,405.3070428772974,Master,2,27085.60785922511,1343.110259042772,756527.5208489834,204.2227567256045,786.8345722277775,154.14237053868183,1.70697921322903,961.48230841842,local_fallback
Jinqs_prime2,900000008747,413.25263661988623,Diamond,3,27055.06817272313,1082.5693812471077,721482.4363799818,140.33315479709162,749.3355749203994,181.53582719098927,1.4447057066016211,962.8295526428512,local_fallback
Apryze_vibe2,900000009064,455.0901552223688,Predator,1,27034.93517631361,1480.07039198105,962351.2752314686,185.73484911549733,857.310033132872,166.86818842793534,1.726412073555726,1122.5242188228497,local_fallback
iShiny_rift,900000009939,475.94901737874375,Platinum,4,26984.749770627077,1288.085282381917,828207.6206221147,210.34361411686527,717.262818325398,176.37124934618035,1.7958344549201992,1154.6780335773446,local_fallback
Apryze_fps,900000007961,486.58108177232754,Predator,1,26937.248540127843,1504.4890566550928,920964.4674933128,221.3547409070253,829.2563202439802,196.5067937034385,1.8142629967685369,1110.5908330277791,local_fallback
Jinqs_zen,900000002270,434.3259587821408,Diamond,3,26917.464838787037,1145.4466655333767,680804.850333262,147.51592856244503,719.8531120895947,150.69601693036557,1.591222773502175,945.7552365884992,local_fallback
Sickks_rift,900000004884,437.9501202902676,Diamond,3,26900.78113664357,1515.6123660111357,779951.5025360817,220.75525875963783,786.0229486693904,164.06523833661134,1.9282037103074685,992.2757393488488,local_fallback
DRAM4H_pulse,900000004208,414.2729801108202,Diamond,3,26847.63818887625,1412.4786851704691,784056.627155364,231.6638578849961,895.2279296404664,188.4381356692409,1.5777866601388726,875.8178796658522,local_fallback
Asura_eu,900000007100,424.3519636841506,Diamond,3,26845.895678995348,1100.6926759270898,917183.232518108,191.9711023852787,820.0291688841753,142.88381691771818,1.3422603947428078,1118.4763509889915,local_fallback
KzyyX_zone,900000008081,355.46677248168885,Diamond,3,26828.121595807723,1621.7157904854878,760258.3220139886,256.23131589632726,659.0573148575355,141.0218706560311,2.460659724012083,1153.5541824284724,local_fallback
NIRU_pulse,900000006383,409.6635930423969,Diamond,3,26823.65072453131,1283.149223568147,844650.381182992,229.29167968416755,659.4746093280726,179.21607486985246,1.9457143693151824,1280.7928754733891,local_fallback
Xabby_rift,900000006169,441.1140676746559,Diamond,3,26720.071823080445,1303.8704397365773,1190187.0234583777,262.51318137329866,837.4889704888502,183.57633709593483,1.556880729993967,1421.1375497442718,local_fallback
